date,team,opponent,goals,goals_conceded,is_home,elo,opponent_elo,xg,opponent_xg,tournament,city,country,neutral,gf_prom_5,gc_prom_5,elo_prom_5,gf_prom_15,gc_prom_15,total_goals,pace_20,rival_gf_prom_5,rival_gc_prom_5,rival_elo_prom_5,rival_gf_prom_15,rival_gc_prom_15
2023-10-14,Serbia,Hungary,1,2,False,1774.0,1789.0,,,UEFA Euro qualification,Budapest,Hungary,False,2.0,1.2,1536.8,2.2,1.27,3,3.25,1.6,0.4,1580.2,1.47,0.67
2023-10-14,Madagascar,Mauritania,1,2,False,1298.0,1397.0,,,Friendly,Mohammedia,Morocco,True,1.4,0.6,1161.8,1.07,1.4,3,2.4,1.8,1.0,1390.4,1.2,0.93
2023-10-14,Antigua and Barbuda,Bahamas,4,1,False,1125.0,875.0,,,CONCACAF Nations League,Nassau,Bahamas,False,0.6,3.4,1134.4,1.0,2.47,5,3.6,0.8,3.4,1181.6,0.67,2.73
2023-10-14,Malta,Italy,0,4,False,1272.0,1917.0,,,UEFA Euro qualification,Bari,Italy,False,0.4,1.4,1569.6,0.8,1.33,4,2.65,1.8,1.2,1698.2,1.4,1.4
2023-10-14,Bahamas,Antigua and Barbuda,1,4,True,875.0,1125.0,,,CONCACAF Nations League,Nassau,Bahamas,False,0.8,3.4,1181.6,0.67,2.73,5,3.35,0.6,3.4,1134.4,1.0,2.47
2023-10-14,Benin,Sierra Leone,1,1,False,1374.0,1341.0,,,Friendly,Khouribga,Morocco,True,1.2,1.8,1387.4,1.13,1.27,2,2.25,1.4,2.0,1298.2,1.0,1.8
2023-10-14,Bulgaria,Lithuania,0,2,True,1497.0,1312.0,,,UEFA Euro qualification,Sofia,Bulgaria,False,0.6,1.6,1634.2,1.07,1.27,2,2.55,0.8,1.6,1649.4,0.4,1.8
2023-10-14,Denmark,Kazakhstan,3,1,True,1800.0,1464.0,,,UEFA Euro qualification,Copenhagen,Denmark,False,1.8,0.8,1419.4,1.47,0.87,4,2.55,1.6,0.6,1469.0,1.2,1.07
2023-10-14,Finland,Slovenia,0,3,False,1662.0,1655.0,,,UEFA Euro qualification,Ljubljana,Slovenia,False,2.0,0.2,1459.4,1.33,0.93,3,2.3,2.2,1.0,1322.6,1.47,1.13
2023-10-14,Germany,United States,3,1,False,1865.0,1756.0,,,Friendly,East Hartford,United States,False,1.2,2.2,1861.8,1.73,1.73,4,3.25,3.2,0.6,1560.4,2.6,0.73
2023-10-14,Aruba,United States Virgin Islands,3,1,True,940.0,866.0,,,CONCACAF Nations League,Oranjestad,Aruba,False,1.4,1.2,1003.6,1.0,2.87,4,3.55,0.6,1.8,900.6,0.53,2.33
2023-10-14,Guyana,Puerto Rico,3,1,False,1189.0,1102.0,,,CONCACAF Nations League,Añasco,Puerto Rico,False,1.8,1.6,1128.0,1.6,1.93,4,3.35,3.2,0.8,1121.4,2.8,0.53
2023-10-14,Hungary,Serbia,2,1,True,1789.0,1774.0,,,UEFA Euro qualification,Budapest,Hungary,False,1.6,0.4,1580.2,1.47,0.67,3,2.15,2.0,1.2,1536.8,2.2,1.27
2023-10-14,Italy,Malta,4,0,True,1917.0,1272.0,,,UEFA Euro qualification,Bari,Italy,False,1.8,1.2,1698.2,1.4,1.4,4,2.65,0.4,1.4,1569.6,0.8,1.33
2023-10-14,Ivory Coast,Morocco,1,1,True,1609.0,1777.0,,,Friendly,Abidjan,Ivory Coast,False,1.4,1.2,1349.4,1.67,1.13,2,2.65,0.8,0.6,1683.2,1.0,0.53
2023-10-14,Kazakhstan,Denmark,1,3,False,1464.0,1800.0,,,UEFA Euro qualification,Copenhagen,Denmark,False,1.6,0.6,1469.0,1.2,1.07,4,2.5,1.8,0.8,1419.4,1.47,0.87
2023-10-14,Liberia,Libya,2,3,True,1297.0,1338.0,,,Friendly,Khouribga,Morocco,True,0.8,2.0,1494.6,0.67,1.8,5,2.4,0.8,1.6,1485.6,0.8,1.2
2023-10-14,Libya,Liberia,3,2,False,1338.0,1297.0,,,Friendly,Khouribga,Morocco,True,0.8,1.6,1485.6,0.8,1.2,5,1.95,0.8,2.0,1494.6,0.67,1.8
2023-10-14,Lithuania,Bulgaria,2,0,False,1312.0,1497.0,,,UEFA Euro qualification,Sofia,Bulgaria,False,0.8,1.6,1649.4,0.4,1.8,2,2.35,0.6,1.6,1634.2,1.07,1.27
2023-10-14,Ghana,Mexico,0,2,False,1565.0,1796.0,,,Friendly,Charlotte,United States,True,1.4,0.6,1329.8,1.33,1.2,2,2.4,2.2,1.0,1636.2,1.87,1.0
2023-10-15,Norway,Spain,0,1,True,1712.0,1936.0,,,UEFA Euro qualification,Oslo,Norway,False,3.2,0.8,1524.8,1.8,1.13,1,2.95,3.4,0.4,1715.2,2.4,0.67
2023-10-15,Philippines,Kyrgyzstan,1,0,False,1100.0,1228.0,,,Friendly,Manama,Bahrain,True,1.2,1.8,1089.8,1.0,1.87,1,3.15,0.8,2.2,1466.8,1.27,1.67
2023-10-15,Poland,Moldova,1,1,True,1723.0,1331.0,,,UEFA Euro qualification,Warsaw,Poland,False,1.4,1.0,1456.8,0.93,1.07,2,2.4,1.2,1.6,1617.2,1.2,1.47
2023-10-15,Romania,Andorra,4,0,True,1631.0,1133.0,,,UEFA Euro qualification,Bucharest,Romania,False,1.0,0.6,1564.8,1.4,0.93,4,2.15,0.4,2.0,1638.8,0.6,1.47
2023-10-15,Saint Kitts and Nevis,Sint Maarten,0,1,True,1143.0,865.0,,,CONCACAF Nations League,Basseterre,Saint Kitts and Nevis,False,0.8,3.4,1310.8,1.0,2.2,1,3.1,1.2,3.4,1146.6,2.0,3.0
2023-10-15,Saint Lucia,Guadeloupe,0,2,False,1147.0,1254.0,,,CONCACAF Nations League,Sainte-Anne,Guadeloupe,False,2.6,1.2,1133.4,1.53,0.87,2,2.55,2.6,1.4,1185.2,1.8,1.07
2023-10-15,Switzerland,Belarus,3,3,True,1840.0,1430.0,,,UEFA Euro qualification,St. Gallen,Switzerland,False,2.4,1.0,1387.6,1.8,1.27,6,3.1,0.6,0.8,1484.4,0.53,1.33
2023-10-15,Spain,Norway,1,0,False,1936.0,1712.0,,,UEFA Euro qualification,Oslo,Norway,False,3.4,0.4,1715.2,2.4,0.67,1,3.05,3.2,0.8,1524.8,1.8,1.13
2023-10-15,Sudan,Tanzania,1,1,True,1299.0,1351.0,,,Friendly,Taif,Saudi Arabia,True,0.2,1.4,1416.4,0.47,1.2,2,2.0,0.6,0.6,1410.6,0.73,1.0
2023-10-15,Suriname,Grenada,4,0,True,1269.0,1102.0,,,CONCACAF Nations League,Paramaribo,Suriname,False,0.4,1.0,1345.2,0.8,1.33,4,2.7,0.8,3.4,1456.8,1.27,2.47
2023-10-15,Tanzania,Sudan,1,1,False,1351.0,1299.0,,,Friendly,Taif,Saudi Arabia,True,0.6,0.6,1410.6,0.73,1.0,2,1.85,0.2,1.4,1416.4,0.47,1.2
2023-10-15,Turkey,Latvia,4,0,True,1735.0,1354.0,,,UEFA Euro qualification,Konya,Turkey,False,1.8,1.4,1662.0,2.2,1.13,4,3.55,1.0,2.4,1665.0,1.4,1.53
2023-10-15,Wales,Croatia,2,1,True,1684.0,1901.0,,,UEFA Euro qualification,Cardiff,Wales,False,1.6,1.2,1466.0,1.07,1.47,3,2.45,2.0,0.6,1691.2,1.47,0.73
2023-10-15,Sint Maarten,Saint Kitts and Nevis,1,0,False,865.0,1143.0,,,CONCACAF Nations League,Basseterre,Saint Kitts and Nevis,False,1.2,3.4,1146.6,2.0,3.0,1,5.55,0.8,3.4,1310.8,1.0,2.2
2023-10-15,Moldova,Poland,1,1,False,1331.0,1723.0,,,UEFA Euro qualification,Warsaw,Poland,False,1.2,1.6,1617.2,1.2,1.47,2,2.9,1.4,1.0,1456.8,0.93,1.07
2023-10-15,Kyrgyzstan,Philippines,0,1,True,1228.0,1100.0,,,Friendly,Manama,Bahrain,True,0.8,2.2,1466.8,1.27,1.67,1,3.15,1.2,1.8,1089.8,1.0,1.87
2023-10-15,Jamaica,Haiti,3,2,False,1559.0,1498.0,,,CONCACAF Nations League,Port of Spain,Trinidad and Tobago,True,1.6,1.2,1471.6,1.53,1.27,5,2.85,1.0,1.6,1462.2,2.13,1.07
2023-10-15,Latvia,Turkey,0,4,False,1354.0,1735.0,,,UEFA Euro qualification,Konya,Turkey,False,1.0,2.4,1665.0,1.4,1.53,4,2.7,1.8,1.4,1662.0,2.2,1.13
2023-10-15,Andorra,Romania,0,4,False,1133.0,1631.0,,,UEFA Euro qualification,Bucharest,Romania,False,0.4,2.0,1638.8,0.6,1.47,4,2.1,1.0,0.6,1564.8,1.4,0.93
2023-10-15,Belarus,Switzerland,3,3,False,1430.0,1840.0,,,UEFA Euro qualification,St. Gallen,Switzerland,False,0.6,0.8,1484.4,0.53,1.33,6,2.05,2.4,1.0,1387.6,1.8,1.27
2023-10-15,Cuba,Honduras,0,4,False,1272.0,1470.0,,,CONCACAF Nations League,Tegucigalpa,Honduras,False,0.8,1.6,1427.4,1.27,1.2,4,2.4,1.2,0.4,1387.4,0.87,1.2
2023-10-15,Cyprus,Georgia,0,4,False,1360.0,1577.0,,,UEFA Euro qualification,Tbilisi,Georgia,False,0.4,3.6,1735.6,0.73,2.6,4,3.25,2.4,2.4,1628.4,2.33,1.33
2023-10-15,Czech Republic,Faroe Islands,1,0,True,1720.0,1264.0,,,UEFA Euro qualification,Plzeň,Czech Republic,False,1.8,1.2,1559.8,1.53,1.47,1,2.95,0.2,2.2,1609.6,0.67,1.93
2023-10-15,Croatia,Wales,1,2,False,1901.0,1684.0,,,UEFA Euro qualification,Cardiff,Wales,False,2.0,0.6,1691.2,1.47,0.73,3,2.2,1.6,1.2,1466.0,1.07,1.47
